Full Name,Gender,Date of Birth,Parliament Name,D I P S,E O P T
FirstNameSA2019_384 LastNameSA2019_384,Male,14.06.53,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_385 LastNameSA2019_385,Female,30.06.70,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_386 LastNameSA2019_386,Male,03.08.72,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_387 LastNameSA2019_387,Male,28.07.60,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_388 LastNameSA2019_388,Male,04.01.76,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_389 LastNameSA2019_389,Female,02.12.61,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_390 LastNameSA2019_390,Male,12.08.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_391 LastNameSA2019_391,Male,18.04.60,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_392 LastNameSA2019_392,Male,20.04.85,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_393 LastNameSA2019_393,Female,15.11.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_394 LastNameSA2019_394,Female,28.02.83,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_395 LastNameSA2019_395,Male,31.03.51,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_396 LastNameSA2019_396,Male,14.01.79,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_397 LastNameSA2019_397,Female,03.10.62,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_398 LastNameSA2019_398,Female,18.02.64,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_399 LastNameSA2019_399,Male,27.11.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_400 LastNameSA2019_400,Male,20.04.80,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2014_1 LastNameSA2014_1,Male,11.10.53,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_2 LastNameSA2014_2,Female,18.01.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_3 LastNameSA2014_3,Female,23.06.63,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_4 LastNameSA2014_4,Female,16.01.75,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_5 LastNameSA2014_5,Male,05.05.81,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_6 LastNameSA2014_6,Male,31.03.64,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_7 LastNameSA2014_7,Male,21.06.48,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_8 LastNameSA2014_8,Male,29.04.64,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_9 LastNameSA2014_9,Female,27.10.45,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_10 LastNameSA2014_10,Female,21.12.54,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_11 LastNameSA2014_11,Female,08.03.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_12 LastNameSA2014_12,Female,16.04.74,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_13 LastNameSA2014_13,Male,11.08.68,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_14 LastNameSA2014_14,Female,31.03.70,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_15 LastNameSA2014_15,Male,29.07.61,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_16 LastNameSA2014_16,Male,26.08.68,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_17 LastNameSA2014_17,Female,07.03.57,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_18 LastNameSA2014_18,Male,03.08.58,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_19 LastNameSA2014_19,Male,09.08.52,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_20 LastNameSA2014_20,Female,10.08.58,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_21 LastNameSA2014_21,Male,06.04.55,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_22 LastNameSA2014_22,Female,09.10.49,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_23 LastNameSA2014_23,Male,06.11.73,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_24 LastNameSA2014_24,Male,22.05.60,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_25 LastNameSA2014_25,Female,13.10.73,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_26 LastNameSA2014_26,Male,08.10.54,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_27 LastNameSA2014_27,Male,28.10.62,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_28 LastNameSA2014_28,Male,02.07.53,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_29 LastNameSA2014_29,Male,16.07.78,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_30 LastNameSA2014_30,Female,09.01.49,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_31 LastNameSA2014_31,Male,28.04.74,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_32 LastNameSA2014_32,Male,21.01.53,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_33 LastNameSA2014_33,Female,13.04.61,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_34 LastNameSA2014_34,Female,09.02.56,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_35 LastNameSA2014_35,Male,09.07.62,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_36 LastNameSA2014_36,Male,17.05.69,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_37 LastNameSA2014_37,Male,14.10.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_38 LastNameSA2014_38,Male,26.09.58,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_39 LastNameSA2014_39,Female,30.06.45,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_40 LastNameSA2014_40,Female,28.11.75,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_41 LastNameSA2014_41,Female,30.11.51,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_42 LastNameSA2014_42,Female,02.09.76,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_43 LastNameSA2014_43,Male,12.06.88,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_44 LastNameSA2014_44,Female,04.11.63,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_45 LastNameSA2014_45,Male,24.04.62,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_46 LastNameSA2014_46,Female,21.05.68,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_47 LastNameSA2014_47,Male,22.05.49,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_48 LastNameSA2014_48,Male,22.07.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_49 LastNameSA2014_49,Male,20.02.75,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_50 LastNameSA2014_50,Male,04.08.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_51 LastNameSA2014_51,Male,31.05.59,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_52 LastNameSA2014_52,Female,02.03.71,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_53 LastNameSA2014_53,Female,06.03.68,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_54 LastNameSA2014_54,Male,13.06.61,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_55 LastNameSA2014_55,Male,21.04.62,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_56 LastNameSA2014_56,Male,17.01.60,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_57 LastNameSA2014_57,Female,14.03.56,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_58 LastNameSA2014_58,Male,15.05.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_59 LastNameSA2014_59,Male,29.09.82,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_60 LastNameSA2014_60,Male,24.01.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_61 LastNameSA2014_61,Male,14.11.91,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_62 LastNameSA2014_62,Male,29.08.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_63 LastNameSA2014_63,Female,29.07.50,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_64 LastNameSA2014_64,Female,22.09.82,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_65 LastNameSA2014_65,Male,26.07.72,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_66 LastNameSA2014_66,Male,01.11.57,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_67 LastNameSA2014_67,Male,06.11.73,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_68 LastNameSA2014_68,Female,05.04.55,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_69 LastNameSA2014_69,Female,18.10.49,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_70 LastNameSA2014_70,Female,17.01.60,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_71 LastNameSA2014_71,Female,09.08.62,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_72 LastNameSA2014_72,Male,30.06.81,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_73 LastNameSA2014_73,Female,18.04.63,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_74 LastNameSA2014_74,Male,07.12.68,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_75 LastNameSA2014_75,Male,24.10.43,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_76 LastNameSA2014_76,Female,19.05.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_77 LastNameSA2014_77,Female,21.12.73,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_78 LastNameSA2014_78,Male,02.12.40,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_79 LastNameSA2014_79,Male,26.08.58,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_80 LastNameSA2014_80,Male,23.07.58,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_81 LastNameSA2014_81,Male,10.02.68,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_82 LastNameSA2014_82,Female,24.12.71,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_83 LastNameSA2014_83,Female,29.12.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_84 LastNameSA2014_84,Male,18.12.53,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_85 LastNameSA2014_85,Male,12.06.81,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_86 LastNameSA2014_86,Male,27.08.56,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_87 LastNameSA2014_87,Male,26.05.89,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_88 LastNameSA2014_88,Male,19.05.60,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_89 LastNameSA2014_89,Male,20.09.64,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_90 LastNameSA2014_90,Male,19.07.76,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_91 LastNameSA2014_91,Female,08.09.53,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_92 LastNameSA2014_92,Male,01.06.51,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_93 LastNameSA2014_93,Male,20.10.69,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_94 LastNameSA2014_94,Female,03.07.56,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_95 LastNameSA2014_95,Female,07.09.45,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_96 LastNameSA2014_96,Male,08.07.64,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_97 LastNameSA2014_97,Female,31.07.53,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_98 LastNameSA2014_98,Male,08.09.63,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_99 LastNameSA2014_99,Male,12.09.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_100 LastNameSA2014_100,Male,14.04.58,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_101 LastNameSA2014_101,Female,23.02.51,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_102 LastNameSA2014_102,Female,23.07.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_103 LastNameSA2014_103,Male,22.01.61,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_104 LastNameSA2014_104,Female,04.11.58,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_105 LastNameSA2014_105,Female,18.10.42,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_106 LastNameSA2014_106,Female,26.04.51,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_107 LastNameSA2014_107,Female,14.11.76,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_108 LastNameSA2014_108,Female,22.12.84,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_109 LastNameSA2014_109,Male,19.12.46,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_110 LastNameSA2014_110,Male,30.06.55,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_111 LastNameSA2014_111,Male,27.11.55,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_112 LastNameSA2014_112,Male,14.01.71,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_113 LastNameSA2014_113,Male,04.10.63,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_114 LastNameSA2014_114,Male,06.05.45,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_115 LastNameSA2014_115,Female,13.12.73,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_116 LastNameSA2014_116,Female,31.03.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_117 LastNameSA2014_117,Male,23.12.75,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_118 LastNameSA2014_118,Female,08.08.52,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_119 LastNameSA2014_119,Male,12.11.68,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_120 LastNameSA2014_120,Male,15.02.60,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_121 LastNameSA2014_121,Male,02.12.62,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_122 LastNameSA2014_122,Male,16.11.61,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_123 LastNameSA2014_123,Male,11.01.71,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_124 LastNameSA2014_124,Male,20.05.54,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_125 LastNameSA2014_125,Female,17.11.56,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_126 LastNameSA2014_126,Female,15.07.77,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_127 LastNameSA2014_127,Female,25.05.52,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_128 LastNameSA2014_128,Female,02.09.61,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_129 LastNameSA2014_129,Male,21.06.72,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_130 LastNameSA2014_130,Female,22.02.69,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_131 LastNameSA2014_131,Female,07.05.83,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_132 LastNameSA2014_132,Male,23.01.44,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_133 LastNameSA2014_133,Male,03.04.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_134 LastNameSA2014_134,Male,26.09.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_135 LastNameSA2014_135,Male,31.12.83,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_136 LastNameSA2014_136,Female,03.11.51,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_137 LastNameSA2014_137,Female,15.03.59,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_138 LastNameSA2014_138,Male,07.07.53,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_139 LastNameSA2014_139,Male,19.11.77,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_140 LastNameSA2014_140,Female,19.05.77,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_141 LastNameSA2014_141,Male,15.02.61,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_142 LastNameSA2014_142,Male,30.04.88,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_143 LastNameSA2014_143,Male,24.07.52,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_144 LastNameSA2014_144,Male,01.09.54,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_145 LastNameSA2014_145,Female,14.12.73,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_146 LastNameSA2014_146,Male,11.02.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_147 LastNameSA2014_147,Female,17.05.72,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_148 LastNameSA2014_148,Male,11.09.75,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_149 LastNameSA2014_149,Male,04.01.76,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_150 LastNameSA2014_150,Male,25.03.69,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_151 LastNameSA2014_151,Male,21.04.76,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_152 LastNameSA2014_152,Female,30.11.61,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_153 LastNameSA2014_153,Male,30.05.55,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_154 LastNameSA2014_154,Male,16.11.58,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_155 LastNameSA2014_155,Male,06.11.73,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_156 LastNameSA2014_156,Male,05.12.43,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_157 LastNameSA2014_157,Male,28.06.78,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_158 LastNameSA2014_158,Male,21.08.56,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_159 LastNameSA2014_159,Male,14.07.53,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_160 LastNameSA2014_160,Female,21.12.44,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_161 LastNameSA2014_161,Male,13.12.66,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_162 LastNameSA2014_162,Female,02.12.76,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_163 LastNameSA2014_163,Male,20.10.55,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_164 LastNameSA2014_164,Male,22.01.71,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_165 LastNameSA2014_165,Female,04.08.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_166 LastNameSA2014_166,Female,29.05.68,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_167 LastNameSA2014_167,Male,30.08.54,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_168 LastNameSA2014_168,Male,11.09.42,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_169 LastNameSA2014_169,Female,23.02.69,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_170 LastNameSA2014_170,Female,27.12.42,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_171 LastNameSA2014_171,Female,07.02.72,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_172 LastNameSA2014_172,Male,17.10.57,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_173 LastNameSA2014_173,Male,16.01.48,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_174 LastNameSA2014_174,Male,26.03.66,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_175 LastNameSA2014_175,Male,05.01.50,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_176 LastNameSA2014_176,Female,25.06.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_177 LastNameSA2014_177,Male,29.02.68,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_178 LastNameSA2014_178,Female,26.01.53,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_179 LastNameSA2014_179,Female,05.11.56,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_180 LastNameSA2014_180,Female,19.01.95,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_181 LastNameSA2014_181,Female,31.07.59,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_182 LastNameSA2014_182,Female,17.10.55,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_183 LastNameSA2014_183,Female,16.12.65,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_184 LastNameSA2014_184,Male,04.06.66,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_185 LastNameSA2014_185,Male,14.02.66,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_186 LastNameSA2014_186,Female,13.07.66,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_187 LastNameSA2014_187,Female,18.10.70,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_188 LastNameSA2014_188,Female,17.02.71,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_189 LastNameSA2014_189,Female,07.04.73,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_190 LastNameSA2014_190,Male,03.01.63,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_191 LastNameSA2014_191,Female,26.07.48,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_192 LastNameSA2014_192,Female,06.12.51,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_193 LastNameSA2014_193,Male,03.09.49,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_194 LastNameSA2014_194,Male,10.06.62,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_195 LastNameSA2014_195,Female,26.01.75,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_196 LastNameSA2014_196,Male,12.03.70,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_197 LastNameSA2014_197,Male,23.05.56,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_198 LastNameSA2014_198,Male,17.06.59,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_199 LastNameSA2014_199,Female,10.10.52,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_200 LastNameSA2014_200,Male,17.04.55,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_201 LastNameSA2014_201,Male,29.11.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_202 LastNameSA2014_202,Male,25.07.67,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_203 LastNameSA2014_203,Male,08.05.64,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
FirstNameSA2014_204 LastNameSA2014_204,Female,26.12.58,National Assembly of South Africa,21.05.14 00:00,21.05.19 00:00
